name,teaser_description,latitude,longitude,image_url,era,region,discovery_year,credibility_level,is_alternative,site_type_id,is_user_submitted,is_deleted,year_built,full_description,info_url
Lalibela Rock‑Hewn Churches,Monolithic Ethiopian churches carved top‑down into red volcanic tuff.,12.0311,39.0475,https://upload.wikimedia.org/wikipedia/commons/0/09/Lalibela.jpg,Medieval,Ethiopia,1840,High,FALSE,1,FALSE,FALSE,1200,"King Lalibela commissioned eleven churches in the 12th‑13th centuries to create a ""New Jerusalem"" for Ethiopian Christians. Artisans chiselled each church from living rock, starting at ground level and excavating downward to form freestanding volumes. Bete Giyorgis, the cross‑shaped masterpiece, sits in a cruciform pit linked by trench passageways to other sanctuaries. Interior murals display Coptic saints and hermetic symbols, while carved windows filter shafts of holy light. UNESCO stabilised cracks with stainless‑steel anchors and erected protective shelters over the most vulnerable roofs. Pilgrims flock during Timkat Epiphany, filling trenches with chanting and white‑robed processions. Archaeologists using photogrammetry continue mapping hidden tunnels and water channels beneath the complex.",https://en.wikipedia.org/wiki/Lalibela
Luxor Temple,Sandstone temple on the Nile aligned with the annual Opet procession.,25.6996,32.6396,https://upload.wikimedia.org/wikipedia/commons/a/ac/Luxor_Temple.jpg,New Kingdom,Egypt,1884,High,FALSE,1,FALSE,FALSE,-1400,"Luxor Temple, begun by Amenhotep III around 1400 BCE, remained a living shrine through Roman and Islamic eras. Ramesses II added colossal standing statues and the first pylon; one original obelisk now graces Paris’s Place de la Concorde. The temple’s central axis once connected via an avenue of sphinxes to Karnak two kilometres north, hosting the Opet festival. Roman legionaries built a camp within the sanctuary, inserting frescos of emperors in pharaonic guise. Under the mosque of Abu el‑Haggag, medieval additions perch atop ancient columns, illustrating layered sacred use. Modern laser cleaning reveals pigment traces on reliefs depicting the divine birth of Amenhotep III. Groundwater lowering projects now combat salt crystallisation threatening the sandstone blocks.",https://en.wikipedia.org/wiki/Luxor_Temple
Prambanan,Indonesia’s tallest Hindu temple complex dedicated to the Trimurti.,-7.7508,110.491,https://upload.wikimedia.org/wikipedia/commons/3/30/Prambanan.jpg,Medieval,Indonesia,1811,High,FALSE,1,FALSE,FALSE,850,"Prambanan rises 47 m with its central Shiva temple flanked by Brahma and Vishnu shrines, mirroring Hindu cosmology. Reliefs on balustrades recount the Ramayana; nighttime dance performances dramatise the epic before illuminated towers. Volcanic eruptions and 16th‑century earthquakes toppled many outer temples, whose stones locals reused for houses. Dutch archaeologists began reconstruction in 1937 using anastylosis, piecing original blocks together like a 3‑D puzzle. The 2006 Yogyakarta earthquake inflicted new damage, prompting seismic retrofitting with titanium rods. Prambanan exemplifies Java’s syncretic Sailendra‑Sanjava transition from Buddhism to Hinduism. Visitor caps and seismographs now safeguard the fragile masonry against both human and tectonic pressures.",https://en.wikipedia.org/wiki/Prambanan
Bagan Temples,"Plain of over 2,000 brick and gilded stupas along Myanmar’s Irrawaddy.",21.1717,94.8585,https://upload.wikimedia.org/wikipedia/commons/1/1e/Bagan.jpg,Medieval,Myanmar,1855,High,FALSE,1,FALSE,FALSE,1050,"From the 9th to 13th centuries the Bagan kingdom erected over 10,000 Buddhist monuments, 2,200 of which still dot the arid plain. Temples like Ananda and Dhammayangyi showcase corbelled arches, jataka murals and gilt spires visible at sunrise balloon flights. Earthquakes in 1975 and 2016 toppled many stupas; controversial cement repairs under the junta damaged authenticity. UNESCO inscription in 2019 ushered new conservation guidelines employing lime‑mortar and seismic base isolation. Laser scanning and satellite imagery map erosion risk from the shifting Irrawaddy River. Bagan’s astronomical alignments appear to mark solstice sunsets, guiding pilgrims along axial causeways. Controlled visitor routes now balance spiritual practices with heritage tourism revenue.",https://en.wikipedia.org/wiki/Bagan
Sigiriya,Sky‑palace fortress atop a 200‑m granite plug in Sri Lanka’s jungle.,7.9569,80.7593,https://upload.wikimedia.org/wikipedia/commons/9/96/Sigiriya.jpg,Classical,Sri Lanka,1831,High,FALSE,5,FALSE,FALSE,477,"King Kasyapa transformed Sigiriya, “Lion Rock,” into his capital in the 5th century CE. Mirror‑polished plaster walls once reflected frescoes of celestial maidens painted halfway up the cliff face. A brick lion‑shaped gateway gave the citadel its name; only the paws remain flanking a stairway to summit palaces. Hydraulic engineers fed terraced water gardens with fountains still spouting during monsoon months. After Kasyapa’s death the site became a Buddhist monastery until the 14th century. Archaeologists employ LiDAR to reveal hidden cave monasteries around the rock’s base. Sigiriya is celebrated as a masterpiece of urban planning, art and landscape design harmonised with geology.",https://en.wikipedia.org/wiki/Sigiriya
Carnac Stones,"Alignments of over 3,000 Neolithic standing stones in Brittany.",47.5958,-3.0823,https://upload.wikimedia.org/wikipedia/commons/8/8b/Carnac.jpg,Neolithic,France,1800,High,FALSE,5,FALSE,FALSE,-3300,"The Carnac megalithic complex spans four kilometres of stone rows known as alignements, erected between 4500–3300 BCE. Some menhirs exceed four metres, arranged in gradually increasing height toward the west. Theories for their purpose range from processional avenues and lunar observatories to clan territorial markers. Nearby tumuli such as Tour‑d’Er Grah house rich burials with polished axes and Baltic amber, indicating trade links. Laser scanning documents micro‑erosion from acidic rain and tourist touch; protective boardwalks now channel visitors. Archaeomagnetic dating refines construction phases, hinting at continuous monumentality over a millennium. Carnac forms a key node in Europe’s Atlantic Neolithic megalithic tradition.",https://en.wikipedia.org/wiki/Carnac_stones
Maeshowe,Orkney chambered cairn aligned to winter solstice sunset.,58.9953,-3.1873,https://upload.wikimedia.org/wikipedia/commons/d/d2/Maeshowe.jpg,Neolithic,Scotland,1861,High,FALSE,4,FALSE,FALSE,-2800,"Maeshowe’s 14‑m diameter mound hides a corbelled central chamber accessed by an 11‑m passage. Sunset on winter solstice illuminates the rear wall, echoing rituals of rebirth in the darkest days. Viking looters in the 12th century left runic graffiti describing treasure and carving dragons. Laser scans reveal carving tool marks and structural shifts in outer retaining walls. Maeshowe anchors the Heart of Neolithic Orkney UNESCO landscape with nearby Ring of Brodgar and Skara Brae. Visitor numbers are timed to preserve stable humidity inside the chamber. Ongoing climate change threatens surrounding peat soils, prompting drainage studies.",https://en.wikipedia.org/wiki/Maeshowe
Dolmens of Antequera,Three giant Iberian megalithic tombs aligned to mountain landmarks.,37.0144,-4.5617,https://upload.wikimedia.org/wikipedia/commons/6/6d/Dolmen_de_Menga.jpg,Neolithic,Spain,1903,High,FALSE,4,FALSE,FALSE,-3700,"The Antequera Dolmens—Menga, Viera and El Romeral—were built between 3700 and 3200 BCE using stone slabs up to 180 t. Unusually, Menga’s axis points not to the sunrise but to Peña de los Enamorados, a human‑profile rock outcrop. Excavations found the bones of several hundred individuals and a 19.5‑m deep ritual well. El Romeral’s beehive chamber echoes Mycenaean tholos tombs, suggesting convergent engineering. Laser vibrometry assesses seismic vulnerability given Andalusia’s moderate quake risk. UNESCO inscription in 2016 spurred visitor centre upgrades and landscape restoration. The complex exemplifies early European integration of monumentality with distinctive natural vistas.",https://en.wikipedia.org/wiki/Dolmen_of_Menga
Mount Nemrut,Mountain‑top tomb of King Antiochus I ringed by colossal deities.,37.9813,38.7409,https://upload.wikimedia.org/wikipedia/commons/b/bb/Nemrut.jpg,Hellenistic,Turkey,1881,High,FALSE,5,FALSE,FALSE,-62,"In 62 BCE Antiochus I of Commagene built his hierotheseion atop Mount Nemrut, 2,134 m above sea level. A conical tumulus of crushed limestone crowns the summit, flanked by seated statues of Greek‑Iranian gods with detached heads scattered by earthquakes. Eastern and western terraces host relief stelae depicting Antiochus’s Persian ancestors and Alexander the Great. Astronomical reliefs show Halley’s Comet passage, suggesting royal claim to cosmic favour. Turkish conservators use 3‑D photogrammetry to monitor freeze‑thaw cracks and visitor erosion. Sunrise and sunset cast dramatic shadows, turning the summit into a pilgrimage for photographers. UNESCO listing ensures ongoing structural and environmental monitoring of this unique syncretic monument.",https://en.wikipedia.org/wiki/Mount_Nemrut
Knossos,Bronze Age palace on Crete linked to the labyrinth and Minotaur myth.,35.2989,25.1596,https://upload.wikimedia.org/wikipedia/commons/0/06/Knossos.jpg,Bronze Age,Greece,1878,High,FALSE,2,FALSE,FALSE,-1700,"Sir Arthur Evans excavated Knossos in 1900, revealing multi‑storey palatial complexes with colourful frescoes of bull‑leapers. Labyrinthine corridors inspired the myth of Theseus and the Minotaur, though functions were administrative and ceremonial. Linear B tablets record inventories and taxes, evidencing an early Greek script. Evans’s concrete reconstructions remain controversial but protect fragile originals. Seismic retrofits now stabilise columns against frequent Aegean quakes. New excavations use micro‑XRF to map pigment composition, shedding light on Minoan art palettes. Knossos highlights Minoan maritime power and sophisticated palace economy.",https://en.wikipedia.org/wiki/Knossos
Troy,Multi‑layered city mound associated with Homer’s Iliad.,39.9578,26.2389,https://upload.wikimedia.org/wikipedia/commons/b/b3/Troy.jpg,Bronze Age,Turkey,1870,High,FALSE,2,FALSE,FALSE,-3000,"Hisarlik hill preserves nine major occupation layers from Early Bronze to Roman periods. Troy VI’s massive limestone walls and towered gates fit Homeric descriptions, but Troy VIIa shows burn layers from 1180 BCE. Recent excavation uncovered a 400‑BCE temple to Athena sealing earlier strata. Bioarchaeology of pig remains indicates shifts in diet and trade during Hittite control. The Trojan War likely amalgamates conflicts over Dardanelles trade routes. UNESCO and Turkish authorities opened a new onsite museum displaying Schliemann’s trenches and 3‑D virtual reconstructions. Ongoing geomorphology maps coastline shifts affecting harbour accessibility over millennia.",https://en.wikipedia.org/wiki/Troy
Ajanta Caves,Rock‑cut Buddhist monasteries famed for vivid Gupta‑era murals.,20.552,75.7033,https://upload.wikimedia.org/wikipedia/commons/7/7d/Ajanta.jpg,Classical,India,1819,High,FALSE,1,FALSE,FALSE,200,"Ajanta’s 30 caves arc along a horseshoe cliff overlooking the Waghora River gorge. Early Hinayana chaitya halls date to 2nd century BCE, while ornate Mahayana viharas followed 500 years later. Murals depict Jataka tales with rich lapis, malachite and cinnabar pigments still luminous in flickering lamplight. Humidity sensors and fibre‑optic lighting now protect delicate wall paintings from mould. Laser mapping helps identify micro‑fissures threatening collapse of rock pillars. UNESCO listing limits visitor numbers and bans flash photography. Ajanta’s iconographic programme influenced Buddhist art across Asia.",https://en.wikipedia.org/wiki/Ajanta_Caves
Templo Mayor,Aztec twin‑shrine pyramid uncovered beneath Mexico City's Zócalo.,19.4352,-99.131,https://upload.wikimedia.org/wikipedia/commons/0/0c/Templo_Mayor.jpg,Late Postclassic,Mexico,1978,High,FALSE,1,FALSE,FALSE,1325,"Templo Mayor housed shrines to war god Huitzilopochtli and rain god Tlaloc, symbolising duality of war and fertility. Spanish conquistadors demolished it in 1521, erecting a cathedral atop the rubble. Modern digs revealed seven construction phases, each encapsulating previous temples like nesting dolls. Offerings include jaguar skins, coral, and a giant monolith of the moon goddess Coyolxauhqui. Seismic monitoring tracks subsidence in the soft lacustrine soils of Mexico City. The onsite museum contextualises artefacts amid immersive digital reconstructions. Templo Mayor illuminates Aztec cosmology and imperial ritual sacrifice.",https://en.wikipedia.org/wiki/Templo_Mayor
Qal'at al‑Bahrain,"Tell housing Dilmun’s capital, fort and Greek‑era levels in Bahrain.",26.2333,50.52,https://upload.wikimedia.org/wikipedia/commons/2/2a/Qal%27at_al-Bahrain.jpg,Bronze Age,Bahrain,1954,High,FALSE,2,FALSE,FALSE,-2050,"Qal'at al‑Bahrain’s 12‑m mound records 4,000 years of human activity from Dilmun merchants to Portuguese garrisons. Cuneiform letters mention Dilmun as a trade entrepôt between Mesopotamia and the Indus. Excavations unearthed chert seals, copper ingots and a Hellenistic garrison barracks. The layered fortifications reveal Islamic glazed ware and Portuguese cannon embrasures. UNESCO designation spurred coastal mangrove restoration protecting site viewsheds. Ground‑penetrating radar identifies preserved harbour walls buried under reclaimed land. Qal'at al‑Bahrain anchors Bahrain's identity as a crossroads of ancient commerce.",https://en.wikipedia.org/wiki/Qal%27at_al-Bahrain
Tell es‑Sultan (Jericho),Site of the world’s earliest known city fortifications and tower.,31.8722,35.4433,https://upload.wikimedia.org/wikipedia/commons/8/83/Tell_es_Sultan.jpg,Neolithic,Palestine,1868,High,FALSE,2,FALSE,FALSE,-9000,"Kathleen Kenyon’s 1950s stratigraphy revealed Natufian huts, Pre‑Pottery Neolithic mud‑brick houses and a 9 m stone tower dated to 8000 BCE. Radiocarbon calibration places massive defensive walls centuries earlier than previously thought. Later Bronze Age layers show earthquake damage supporting theories of cyclical destruction. Archaeomagnetic studies examine baked mud‑brick orientations to refine collapse events. Modern conservation stabilises eroding balks in Jericho’s harsh arid climate. The Palestinian Department of Antiquities and UNESCO plan a protective shelter over the tower. Tell es‑Sultan charts humanity’s transition from hunter‑gatherers to urban dwellers.",https://en.wikipedia.org/wiki/Tell_es-Sultan
Çayönü,Early Anatolian village evidencing sheep domestication and skull cult.,38.1667,39.65,https://upload.wikimedia.org/wikipedia/commons/3/34/Cayonu.jpg,Neolithic,Turkey,1964,High,FALSE,2,FALSE,FALSE,-8000,"Çayönü Tepesi lies in the Taurus foothills, occupied 8800–6600 BCE. Architecture evolved from grill‑plan raised floors to cobble‑paved cell houses. Evidence of early copper annealing predates metallurgy elsewhere by millennia. A 'skull building' contained plastered crania arranged on benches, hinting at ancestor rituals. Stable‑isotope work on sheep bones documents the shift from hunting to controlled breeding. Remote sensing maps water‑management channels that supported mixed cereal cultivation. Çayönü provides a key window on Neolithic innovations in northern Mesopotamia.",https://en.wikipedia.org/wiki/Çay%C3%B6n%C3%BC
Lepenski Vir,Mesolithic Danube site with trapezoidal houses and fish‑deity sculptures.,44.5525,22.02,https://upload.wikimedia.org/wikipedia/commons/0/01/Lepenski_Vir.jpg,Mesolithic,Serbia,1960,High,FALSE,2,FALSE,FALSE,-6500,Lepenski Vir’s riverside terraces feature unique trapezoidal house floors oriented to the mid‑winter sunrise. Stone idols with fish and human traits may represent riverine deities. Stable‑isotope analysis of human bones shows heavy reliance on Danube fish. Red ochre burials under house floors indicate complex ancestor veneration. Rising waters from the Iron Gate dam threatened the site; a protective glass pavilion now shields remaining structures. DNA reveals links to both western hunter‑gatherers and incoming Neolithic farmers. The site captures cultural fusion at the dawn of European farming.,https://en.wikipedia.org/wiki/Lepenski_Vir
Mapungubwe,Hilltop capital of a southern African kingdom trading gold and ivory.,-22.2,29.5,https://upload.wikimedia.org/wikipedia/commons/3/37/Mapungubwe.jpg,Medieval,South Africa,1933,High,FALSE,2,FALSE,FALSE,1050,Mapungubwe thrived 1050‑1300 CE at the Limpopo‑Shashe confluence controlling trade between interior goldfields and Swahili ports. Golden rhinoceros and sceptre relics from the royal hill attest to elite power and craftsmanship. A rigid spatial hierarchy separated rulers on the hill from commoners in valley settlements. Climate proxies point to drought cycles coinciding with abandonment and shift to Great Zimbabwe. UNESCO status integrates cultural heritage with a trans‑frontier wildlife park. Ground‑based LiDAR maps stone terrace agriculture underpinning surplus production. Mapungubwe illuminates the rise of complex polities in southern Africa.,https://en.wikipedia.org/wiki/Kingdom_of_Mapungubwe
Kilwa Kisiwani,Swahili city‑state whose coral‑rag palaces testify to Indian Ocean trade.,-8.9594,39.52,https://upload.wikimedia.org/wikipedia/commons/2/26/Kilwa_Kisiwani.jpg,Medieval,Tanzania,1845,High,FALSE,2,FALSE,FALSE,900,"From the 10th to 15th centuries Kilwa controlled gold and ivory flow from Zimbabwe to Arabian and Indian markets. Great Mosque—Africa’s oldest surviving—sports coral‑stone domes and mihrab niches. Husuni Kubwa palace held 100 rooms, staircases and octagonal pools showcasing Swahili‑Persian opulence. Chinese porcelain shards and Arabian glass beads evidence cosmopolitan trade links. UNESCO and local custodians combat mangrove encroachment and erosion undermining coral architecture. Underwater archaeology surveys dhow anchorages and stone‑lined landing stages. Kilwa’s rise and fall mirror fluctuating monsoon trade winds and Portuguese intervention.",https://en.wikipedia.org/wiki/Kilwa_Kisiwani
